pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0015,A14,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Monster Energy Supercross - The Official Videogame 3,"레이싱, 시뮬레이션, 스포츠","커리어 모드에서 공식 팀에 참가하여 2019 시즌을 직접 뛰어 보세요! 다양한 모드가 추가된 새로운 멀티 플레이를 경험하고, 온라인으로 친구와 새로운 컴파운드를 즐겨 보세요. 그리고 여러분의 상상력을 끝없이 펼칠 수 있는 트랙 에디터를 이용해 보세요.",2,,
B0016,A11,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Gordian Quest,"어드벤처, 인디, RPG, 전략","An epic deckbuilding RPG inspired by old-school classics like Ultima and D&D, using modern gaming concepts like roguelite elements and turnbased strategic combat. Lead and nurture parties of heroes. Forge bonds and discover new skills among them. Guide them to unravel the curses laid upon the lands.",3,,
B0017,A12,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",Gato Roboto,"액션, 어드벤처, 인디","고양이라도 사용할 수 있는 배틀 수트를 타고, 위험이 도사리고 있는 우주의 행성을 탐색해보세요. 괴물들이 돌아다니고 위험한 장애물로 가득 찬 언더월드에 불시착해버린 우주선과 군인을 구해내세요! 좁은 터널이나 수로에서 새로운 장비를 발견하면 본능과 기술의 힘으로 더욱 파워 업할 수 있습니다.",3,,
B0018,A09,Opus Magnum,"인디, 시뮬레이션",Patrick's Parabox,"캐주얼, 인디, 전략",상자 속에 상자 속에 상자 속에 상자가 있는 정신이 혼미해지는 반복성 퍼즐 게임입니다. 깊이 있는 고급스러운 시스템에서 이 무한성을 활용하세요.,3,,
B0019,A11,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Overland,전략,턴제 서바이벌 게임으로 종말의 시대에 미국을 도로로 횡단하는 여행자 집단을 인도하세요.,2,,
B0020,A07,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",CHKN,"어드벤처, 캐주얼, 인디, 앞서 해보기","Behold, the miracle of life… packed into cubes! Create fantastic creatures in an open-world sandbox game like no other. Explore, craft, and survive—all with the help of your very own creations.",2,,
B0021,A04,Salt and Sanctuary,"액션, 인디, RPG",파스칼 웨이저: 완전판,"액션, 어드벤처, RPG",은 도전성이 넘치는 액션 RPG입니다. 당신은 선구자로서 검은 안개에 뒤덮인 솔라스 대륙에서 이 세상의 모든 빛을 삼킨 재앙 뒤에 숨겨진 진실을 찾아야 합니다.,3,,
B0022,A10,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Cortex Command,"액션, 인디, 전략","Choose between different factions, with their own set of expendable soldiers, mechas, and weapons. Protect your brain, mine gold, and destroy the enemy cortex in his bunker complex!",1,GENRE_ONLY,
B0023,A09,Opus Magnum,"인디, 시뮬레이션",The Signal State,시뮬레이션,종말론 이후의 미래를 배경으로 하는 더 시그널 스테이트는 모듈식 합성기에서 영감을 받은 복잡한 퍼즐로 논리 능력을 테스트합니다. 기계를 수리하고 버려진 농장을 재건하고 농업의 운명을 완전히 변화하는 혁명에 참여하십시오.,3,,
B0024,A06,The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition / BeamNG.drive,"RPG / RPG / 레이싱, 시뮬레이션, 앞서 해보기",CarX Street,"대규모 멀티플레이어, 레이싱, 시뮬레이션, 스포츠","Conquer mountain roads, highways, and city streets. Build your dream car with detailed tuning that unleashes the potential of “CarX Technology”© physics. Take part in thrilling races, enjoying realistic gameplay and dynamic driving.",3,,
