pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0034,A13,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Achievement Clicker,"액션, 어드벤처, 캐주얼, 인디, 시뮬레이션, 전략","Feel like a real Achievement hunter! Earn Achievements, upgrades and get the most Achievements on steam!",,,
B0035,A20,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Smushi Come Home,"어드벤처, 캐주얼, 인디, RPG",숲에서 길을 잃고 집으로 돌아가는 길을 찾지 못하는 작은 버섯이 되어 플레이하세요. 원하는 대로 자유롭게 특별한 장소를 탐험하고 친절한 주민들과 이야기를 나누고 다양한 모험을 통해 집으로 돌아가세요!,,,
B0036,A18,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",이브 온라인,"액션, 대규모 멀티플레이어, RPG, 전략, 무료 플레이","20년 이상의 역사를 지닌 우주 전쟁 게임! 살아 움직이는 SF 샌드박스 MMO의 광활한 우주에서 위대한 도전을 시작하세요. 전투, 거래, 건설 등 다양한 활동으로 플레이어가 직접 만들어가는 우주에 동참하세요.",,,
B0037,A19,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Wild Assault / 兽猎突袭,"액션, 어드벤처, 대규모 멀티플레이어","Wild Assault is an anthro-themed tactical shooter built with Unreal Engine 5, featuring large-scale battlefield gameplay centered around Valiant abilities. Work closely with your team, harness your instincts, and charge into battle to secure victory.",,,
B0038,A18,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Lost Skies,"액션, 어드벤처","숨 막히게 아름다우면서도 불열된 세계에서 항로를 개척하세요. Lost Skies에서 고대 유적을 탐험하고, 고급 기술을 수련하며, 자연의 분노와 거대한 위협에 맞설 나만의 하늘배를 만들어 보세요. 친구와 팀을 이루거나 혼자서 이 경이로 가득 찬 협동 생존 어드벤처에 도전하세요.",,,
B0039,A06,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",바벨탑: 혼돈의 생존자들,"액션, 어드벤처, 인디, RPG, 전략",서바이버 액션 x 끝없는 파밍! 나만의 빌드를 만드는 로그라이트 액션 RPG,,,
B0040,A02,Salt and Sanctuary,"액션, 인디, RPG",Dust: An Elysian Tail,"액션, 어드벤처, 인디, RPG","Immerse yourself in a gorgeous hand-painted world on a search for your true identity. As the mysterious warrior, Dust, your action-packed journey will take you from peaceful glades to snowy mountaintops and beyond.",,,
B0041,A23,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",Lost Skies,"액션, 어드벤처","숨 막히게 아름다우면서도 불열된 세계에서 항로를 개척하세요. Lost Skies에서 고대 유적을 탐험하고, 고급 기술을 수련하며, 자연의 분노와 거대한 위협에 맞설 나만의 하늘배를 만들어 보세요. 친구와 팀을 이루거나 혼자서 이 경이로 가득 찬 협동 생존 어드벤처에 도전하세요.",,,
B0042,A05,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Nuclear Option,"액션, 인디, 시뮬레이션, 앞서 해보기","Fly near-future aircraft with immersive physics across dynamic battlefields, facing land, air, and sea threats. Wage war against AI or rival pilots using an array of advanced weaponry, including tactical and strategic nuclear weapons capable of annihilating anything in your path.",,,
B0043,A18,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",서브노티카: 빌로우 제로,"어드벤처, 인디","외계 행성에서 얼어붙을 듯 추운 수중 모험에 빠져보세요. 빌로우 제로는 오리지널 서브노티카의 스토리보다 2년 전의 이야기를 다룹니다. 행성 4546B로 돌아와 치밀한 위장 뒤에 숨은 진실을 밝혀내십시오. 거주 시설을 짓고 도구를 만들어 극한의 환경에서 살아남고, 서브노티카의 세계를 더 깊이 탐험하십시오.",,,
B0044,A23,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",Starbound,"액션, 어드벤처, 캐주얼, 인디, RPG","You’ve fled your home, only to find yourself lost in space with a damaged ship. Your only option is to beam down to the planet below, repair your ship and set off to explore the universe...",,,
B0045,A08,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Wild Assault / 兽猎突袭,"액션, 어드벤처, 대규모 멀티플레이어","Wild Assault is an anthro-themed tactical shooter built with Unreal Engine 5, featuring large-scale battlefield gameplay centered around Valiant abilities. Work closely with your team, harness your instincts, and charge into battle to secure victory.",,,
B0046,A25,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",No One Survived,"어드벤처, 인디, RPG","This is a multiplayer cooperative open world construction survival sandbox game, where you and your friends must find supplies and build shelters in this world. You have to keep an eye on your character's needs state at all times, a bad state is likely to lead to death.",,,
B0047,A09,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",Fallout 3: Game of the Year Edition,RPG,"Prepare for the Future™ With Fallout 3: Game of the Year Edition, experience the most acclaimed game of 2008 like never before. Create a character of your choosing and descend into an awe-inspiring, post-apocalyptic world where every minute is a fight for survival.",,,
B0048,A08,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Dirty Bomb®,"액션, 무료 플레이","함께 싸우느냐, 홀로 죽느냐! 사상 최강의 경쟁적인 팀 기반 슈팅 게임에서 런던의 수호자가 되거나 파괴자가 되어보세요.",,,
B0049,A19,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Dead Island Definitive Edition,액션,"Welcome to the zombie apocalypse experience of a lifetime – and now more beautiful than ever. Caught in the midst of an epic zombie outbreak on the tropical island of Banoi, your only thought is: Survive!",,,
B0050,A07,Stardew Valley / Slime Rancher / Raft,"인디, RPG, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션 / 어드벤처, 인디, 시뮬레이션",Space Rangers HD: A War Apart,"액션, 어드벤처, RPG, 시뮬레이션, 전략","Space adventure, open world RPG, strategy, arcade, quest and more!",,,
B0051,A15,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Modulus: Factory Automation,시뮬레이션,"Modulus는 3D 빌딩 블록을 자르고, 색칠하고, 도장 찍고, 조립하는 공장 자동화 게임입니다. 창의력을 발휘해서 공장을 설계하고, 확장하고, 최적화하여 Grand Neural Network의 주문 수량을 효율적으로 채우세요.",,,
B0052,A26,The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition / BeamNG.drive,"RPG / RPG / 레이싱, 시뮬레이션, 앞서 해보기",Hell is Us,"액션, 어드벤처","지구상에서 지옥에 가장 가까이 갈 수 있는 경험이 전쟁이라면, 그것은 지구가 최악의 악마, 인류의 집이기 때문일 것입니다. 내전으로 엉망이 된 고립된 국가에서, 과거의 비밀을 찾고 기이한 재앙의 파급효과와 마주하세요.",,,
B0053,A08,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",The Greatest Penguin Heist of All Time,"액션, 어드벤처, 인디","The Greatest Penguin Heist of All Time is a sandboxy physics game for 1-8 players, with everything from sneaky heists to hilarous stupidity to baking pizzas. With continuous updates, plenty of maps, and hundreds of items, clothes and quests, it has something for everyone.",,,
B0054,A14,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",iRacing,"대규모 멀티플레이어, 레이싱, 시뮬레이션, 스포츠","We are the world’s premier motorsports racing game. An iRacing membership provides entry into the newest form of motorsport: internet racing. Internet racing is a fun, easy, and inexpensive way for race fan and gamers alike to enjoy the thrill of the racetrack from the comfort of their home.",,,
B0055,A06,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",스텔라 블레이드™,"액션, 어드벤처, RPG","포스트 아포칼립스 액션 어드벤처, 스텔라 블레이드™에서 멸종 위기의 인류를 구원하세요. 지구 몰락의 비밀을 풀며 맹렬한 전투와 뜻밖의 스토리를 경험하세요.",,,
B0056,A14,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Car Dealership Simulator 2,"캐주얼, 인디, 시뮬레이션, 앞서 해보기","Take charge of the car trade with Car Dealership Simulator 2! Buy, modify, and grow your dealership with strategic sales. Every opportunity will take you closer to the top of the automotive market!",,,
B0057,A11,Opus Magnum,"인디, 시뮬레이션",7 Billion Humans,"인디, 시뮬레이션",작은 사원들 무리를 프로그래밍으로 자동화시켜서 퍼즐을 풀어 보세요. 수상 경력에 빛나는 휴먼 리소스 머신의 흥미진진한 속편을 소개합니다. 이번 게임에는 훨씬 더 많은 인간들이 등장한답니다!,,,
B0058,A03,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,Thronebreaker: The Witcher Tales,"어드벤처, RPG","'더 위쳐 3: 와일드 헌트'의 제작진이 탄생시킨 새 RPG 게임. 제국의 침략이 임박한 가운데, 노련한 전쟁 용사인 리리아와 리비아의 여왕 메브는 다시 한번 출정에 나서면서 파괴와 복수로 가득한 여정에 오르게 되는데...",,,
B0059,A01,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Imperiums: Greek Wars,"시뮬레이션, 전략","Unique combination of turn-based 4X and historical grand strategy with a mythological twist. Explore the ancient world and build a world leading civilization. Survive, expand, conquer... and win!",,,
B0060,A19,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Necesse: 네세스,"액션, 어드벤처, 인디, RPG","건설하고, 퀘스트를 진행하고, 무한히 단계적으로 생성되는 세상을 누비며 정복에 나서 보세요. 혼자든 친구와 함께든, 정착지를 건설하고, 던전 깊숙한 곳까지 탐험하며, 괴물이나 우두머리와 싸우고, 희귀 광석을 캐며, 마법 장비를 만들고, 식민지에서 일할 전문가를 고용하는 등 다양한 활동을 할 수 있습니다!",,,
