pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0011,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Peaks of Yore,"액션, 어드벤처, 인디","Travel around The Great Gales to climb challenging peaks in this physics-based climbing adventure set in 1887. Meet like-minded mountaineers, unlock helpful climbing gear, and become a pioneer of mountaineering.",,,
B0012,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Creativerse,"액션, 어드벤처, 캐주얼, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션",A sandbox adventure game as big as your imagination.,,,
B0013,A18,Raft / Stardew Valley / Counter-Strike 2,"어드벤처, 인디, 시뮬레이션 / 인디, RPG, 시뮬레이션 / 액션, 무료 플레이",Under A New Sun,"어드벤처, 인디, 시뮬레이션, 앞서 해보기","While searching for a new home, an unexpected failure in your ship has left you stranded on a planet surprisingly similar to Earth. Discover a vast open world, hunt for food, develop technologies, and build yourself a new home to survive!",,,
B0014,A04,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Zombie Grinder,"액션, 어드벤처, 인디, RPG, 앞서 해보기","A cross-platform, cooperative, multiplayer, zombie death-fest. Slaughter your way through many different maps, game modes and enemies - With tons of weapons and customization options!",,,
B0015,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Deadfall Adventures,"액션, 어드벤처","Deadfall Adventures is an action-driven first-person shooter, spiced up with elements from action-adventure games. Become an adventurer, hunt for treasures, explore unknown regions of the world and rescue the damsel in distress from the clutches of enemies, both earthly and not-so-earthly.",,,
B0016,A22,Opus Magnum,"인디, 시뮬레이션",Minesweeper Classy,"캐주얼, 인디","A modern and stylish take on a classic logic puzzle game. Play the classic minesweeper levels, beat unique level layouts and challenges, or create and share your own level designs. Features a ton of customization options.",,,
B0017,A12,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Green Project,"인디, 시뮬레이션","Post apocalyptic survival farming, green the world to survive !",,,
B0018,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Mortal Sin,"액션, 인디, RPG","《Mortal Sin》은 실력이 곧 힘이고 자만은 곧 죽음인, 혼돈과 피로 물든 로그라이크다. 잔혹한 근접 전투와 화려하고 통쾌한 콤보로 절차적으로 생성되는 악몽을 헤쳐 나가라.",,,
B0019,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Project 5: Sightseer,"액션, 어드벤처, 인디, RPG","Open world multiplayer sandbox/RPG game. Explore, gather, build, research, and fight to protect what's yours -- by yourself or together with your friends.",,,
B0020,A19,The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition / BeamNG.drive,"RPG / RPG / 레이싱, 시뮬레이션, 앞서 해보기",ScootX,"캐주얼, 인디, 시뮬레이션, 스포츠","The world’s first 100% physics-driven scooter simulation. From the wheels to the rider’s head, everything is powered by physics. Session tricks, grinds, and community-made parks with Mod.io support.",,,
B0021,A12,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Atom Zombie Smasher,"인디, 전략","The zombie apocalypse is upon us and it's up to you to evacuate everyone before they fall prey to the undead. Conduct massive rescue operations with a helping hand from snipers, artillery crews, orbital bombardments, and more.",,,
B0022,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Builderment,"캐주얼, 인디, 시뮬레이션, 전략","Builderment는 캐주얼 공장 건설 게임으로, 멀리 떨어진 행성으로 보내져 새로운 자원으로 지구를 계속 운영하게 됩니다. 기지를 건설한 다음 채굴, 건설, 운송, 그리고 궁극적으로 당신의 집을 구할 수 있는 자동화 운영을 설계해보세요, 한 번에 하나씩!",,,
B0023,A07,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",The Long Journey Home,"인디, RPG, 시뮬레이션, 전략","끝없이 변화하는 우주를 탐험하고, 강력한 외계 종족과 동맹을 맺으세요. 그리고 고고학 연구부터 우주 전투까지 선원들의 기술을 활용하여, 어떻게든 고향에 돌아가세요.",,,
B0024,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",SHINRAI - Broken Beyond Despair,"어드벤처, 인디","A secluded mountain resort, 10 friends, 1 murderer. Investigate, interrogate and present evidence as you solve various mysteries throughout the night. Will you be able to reach the truth and uncover the culprit’s identity? Or will your deductions lead you to blame someone completely innocent...?",,,
B0025,A21,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",Dead of Darkness,"액션, 어드벤처, 인디","Dead of Darkness는 2D 서바이벌 호러 액션 어드벤처 게임입니다. 신비로운 섬을 조사하고 그 섬의 불길한 비밀을 밝혀내세요. 괴상한 생물들과 맞서 싸우고, 치명적인 함정을 피하고, 퍼즐을 풀고 무엇보다도 살아남으세요.",,,
B0026,A18,Raft / Stardew Valley / Counter-Strike 2,"어드벤처, 인디, 시뮬레이션 / 인디, RPG, 시뮬레이션 / 액션, 무료 플레이",Subterror,"액션, 어드벤처, 인디","Explore abandoned biospheres at the bottom of the ocean, alone or with up to 4 friends.",,,
B0027,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Supreme Ruler Ultimate,"인디, 시뮬레이션, 전략","Real-Time Strategy/Wargame. From World War II through the Cold War and into the future, re-live or re-imagine the tensions and crises of our recent history! Guide your nation through the era of your choice in Campaigns, Scenarios, and Sandboxes, as you make every effort to become Supreme Ruler!",,,
B0028,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",ENDLESS Legend™ 2 엔들리스 레전드 2,"RPG, 시뮬레이션, 전략, 앞서 해보기","끊임없이 변화하는 세계에서 강력한 영웅들이 이끄는 비대칭적인 세력을 배경으로 펼쳐지는 이 전략 게임에서 승리를 향해 사람들을 이끌어보세요. ​​제국을 건설하고, 정치적 영향력을 행사하며, 위대한 군대를 일으켜 행성 깊숙이 숨겨진 어두운 비밀을 밝히기 위한 경쟁 속에서 치열한 전쟁을 펼쳐보세요.",,,
B0029,A07,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",Knights of Honor II: Sovereign,"시뮬레이션, 전략","새로 탄생한 실시간 중세 대전략 게임에서 국왕이 되어 유럽의 패권을 놓고 다투십시오. 지역을 관리하고, 군대를 소집하고, 외교를 시행하고 치열한 첩보 활동에 뛰어드십시오. 가능성은 무궁무진합니다. 국민들이 우러러보는 진정한 군주가 되어 영광의 시대로 인도하십시오.",,,
B0030,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",DAEMON MASQUERADE,"어드벤처, 캐주얼, 인디",An anime-inspired supernatural detective game. Uncover the identities and powers of your adversaries using a conspiracy board full of evidence.,,,
B0031,A20,Counter-Strike 2 / PUBG: BATTLEGROUNDS / Stardew Valley,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 인디, RPG, 시뮬레이션",Green Project,"인디, 시뮬레이션","Post apocalyptic survival farming, green the world to survive !",,,
B0032,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Liminal Universe,"어드벤처, 인디, 시뮬레이션","외로움의 깊이를 파헤치는 탐험 게임입니다. 텅 빈 방을 돌아다니며 버려진 세계의 흔적을 찾고, 주변의 소리에 귀를 기울여보세요. 위험한 추격은 없고, 단지 침묵과 탐험할 텅 빈 세상이 있을 뿐입니다.",,,
B0033,A02,Hollow Knight / Dead Cells / Celeste,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디",혈색 광맥,"액션, 어드벤처, 인디",외계 스웜과 메카가 등장하는 액션 로그라이트 게임. 잠복한 적들이 숨어 있는 확산되고 진화하는 세포 덩어리를 돌파하라. 게임의 판도를 바꾸는 스킬과 업그레이드를 수집해 독창적인 빌드를 완성하라.,,,
B0034,A21,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",Deathground,"액션, 어드벤처, 인디, 앞서 해보기","1~4인용 협동 호러 게임. 플레이어는 치명적인 공룡들로부터 도망치고, 숨고, 생존해야 합니다. 미션을 완수하고 폐허가 된 AEON 연구 시설의 끔찍한 비밀을 밝혀내세요. 당신과 친구들은 살아서 탈출할 수 있을까요?",,,
B0035,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Island Cities - Jigsaw Puzzle,"캐주얼, 인디",Arrange the town islands and see them come to life. Just swap the blocks of a 3D jigsaw puzzle.,,,
B0036,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Archipelago,"캐주얼, 인디, 대규모 멀티플레이어, 시뮬레이션, 전략",Archipelago - is a fun game about pirate adventures.,,,
B0037,A19,The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition / BeamNG.drive,"RPG / RPG / 레이싱, 시뮬레이션, 앞서 해보기",Tearscape,"액션, 어드벤처, 인디, RPG","사냥꾼이 되어 던전으로 가득한 어둡고 서로 연결된 세계를 탐험하세요. 정교한 전투 기술로 살아남고, 기괴한 괴물들과 싸우며, 무기를 확장하고, 비선형 구조 속 숨겨진 길을 발견하세요.",,,
B0038,A20,Counter-Strike 2 / PUBG: BATTLEGROUNDS / Stardew Valley,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 인디, RPG, 시뮬레이션",holoVillage: Our Cozy Days,"어드벤처, 인디, RPG, 시뮬레이션","Farm, fish, mine, craft, and decorate your home in this cozy life sim. Venture into dungeons and take on bosses outside the village for some added excitement. Enjoy relaxing and thrilling moments alike with hololive talents as you shape your countryside life.",,,
B0039,A14,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",Project 5: Sightseer,"액션, 어드벤처, 인디, RPG","Open world multiplayer sandbox/RPG game. Explore, gather, build, research, and fight to protect what's yours -- by yourself or together with your friends.",,,
B0040,A25,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Survive the Nights,"액션, 어드벤처, 인디, 대규모 멀티플레이어, 시뮬레이션","준비가 생존의 전부인 하드코어 오픈 월드 생존 게임. 낮에는 자원을 수집하고, 제작하며, 거점을 강화하세요. 밤이 되면 감염자들이 무리를 지어 사냥합니다. 혼자 또는 친구들과 함께 치열한 포스트 아포칼립스 샌드박스에서 현명한 선택으로 생존을 쟁취하세요. 당신은 몇 번의 Nights를 버틸 수 있을까요?",,,
B0041,A17,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",One Lonely Outpost,"인디, RPG, 시뮬레이션","외계 세계에 생명을 불어넣기 위해서는 때로 농부의 손길이 필요합니다. 이 공상 과학, 식민지 개척 시뮬레이션 게임에서 황량한 세계를 테라포밍해보세요. 탐험하고, 농사하고, 건설하면서 이 새롭고 낯선 행성의 수수께끼를 조금씩 밝혀나가고, 황무지를 녹음이 우거진 곳으로 탈바꿈시키세요.",,,
B0042,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",My Car My Life,"액션, 레이싱, 시뮬레이션, 앞서 해보기","Build the car of your dreams to compete in intense drag races, featuring detailed mechanics, advanced customization, and realistic physics. Tune every part of the engine, control the revs with precision, and win through reaction and skill.",,,
B0043,A14,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",StarMade,"액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략, 앞서 해보기","The ultimate space sandbox. Participate in epic fleet battles, form alliances, strive to dominate entire galaxies and harness the universe’s resources for your industrious empire or the destruction of others. Customise your experience, the universe is yours!",,,
B0044,A05,Salt and Sanctuary,"액션, 인디, RPG",Crea,"액션, 어드벤처, 인디, RPG","Progress with every slain monster, learn over 80 skills through talents, craft hundreds of items, and explore vast procedurally-generated worlds in this ever-expanding sandbox RPG!",,,
B0045,A04,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Dungeon Defenders: Going Rogue,"액션, 어드벤처, 인디, RPG","Combining Roguelite, Action RPG, and Tower Defense gameplay into a crazy free-for-all, where it’s you and up to three friends versus hordes of enemies. Select your hero, survive the waves of foes, unlock new weapons and runes, and take on the bosses that await you!",,,
B0046,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Fantasy Map Simulator,"인디, 시뮬레이션, 전략, 앞서 해보기","환상 지도 시뮬레이터: 수세기에 걸쳐 상상의 세계를 만들고 진화하는 것을 지켜보세요. 지도를 디자인하고, 국가를 시뮬레이션하며, 운명을 통제하세요. 데스크톱 배경화면에서 제국의 흥망성쇠를 목격하세요. 역사 애호가와 창의적인 마인드를 가진 사람들을 위한 독특한 시뮬레이션입니다.",,,
B0047,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Homesick,"어드벤처, 인디","Explore an abandoned building, encountering puzzles and clues to discover what happened, as you try to escape in both your nightmares and the waking world. Be immersed in the hauntingly beautiful 3D atmosphere in this puzzle exploration mystery game.",,,
B0048,A18,Raft / Stardew Valley / Counter-Strike 2,"어드벤처, 인디, 시뮬레이션 / 인디, RPG, 시뮬레이션 / 액션, 무료 플레이",holoVillage: Our Cozy Days,"어드벤처, 인디, RPG, 시뮬레이션","Farm, fish, mine, craft, and decorate your home in this cozy life sim. Venture into dungeons and take on bosses outside the village for some added excitement. Enjoy relaxing and thrilling moments alike with hololive talents as you shape your countryside life.",,,
B0049,A25,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Sons Of The Forest,"액션, 어드벤처, 인디, 시뮬레이션",외딴 섬에서 실종된 억만장자를 찾기 위해 파견된 당신은 식인종으로 가득한 지옥을 마주하게 됩니다. 이 무시무시한 오픈 월드 기반의 공포 서바이벌 시뮬레이터에서 혼자 또는 친구들과 함께 무기를 제작하고 건물을 지으며 생존을 위해 고군분투하세요.,,,
B0050,A15,Stardew Valley / Slime Rancher / Raft,"인디, RPG, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션 / 어드벤처, 인디, 시뮬레이션",Subterror,"액션, 어드벤처, 인디","Explore abandoned biospheres at the bottom of the ocean, alone or with up to 4 friends.",,,
B0051,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Overboard!,"어드벤처, 인디",GET AWAY WITH MURDER. Highly replayable detective game where you're the one whodunnit. From the creators of 80 Days and Heaven's Vault.,,,
B0052,A04,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Creativerse,"액션, 어드벤처, 캐주얼, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션",A sandbox adventure game as big as your imagination.,,,
B0053,A07,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",Imagine Earth,"캐주얼, 인디, 시뮬레이션, 전략","이 건설 전략 게임에서는 먼 우주에 있는 행성에 개척지를 건설하게 됩니다. 우주 무역과 연구를 통해 회사를 부와 번영으로 이끌어주세요. 동맹을 찾고, 라이벌과 경쟁하며, 자연재해와 기후 변화로부터 문명을 보호하세요.",,,
B0054,A22,Opus Magnum,"인디, 시뮬레이션",shapez,"캐주얼, 인디, 시뮬레이션, 전략","shapez는 도형을 추출하고 만족스러운 생산 라인을 구축하며 도형의 자동화를 다루는 여유롭고 미니멀한 공장 건설 게임입니다. 점점 더 복잡해지는 도형에 적응하고, 무한히 확장되는 맵에 걸쳐 공장을 성장시켜 나가세요. 유일한 한계라고는 여러분의 창의력뿐입니다!",,,
B0055,A25,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Aground,"어드벤처, 인디, RPG","As one of the last human survivors, you find yourself stranded on an uninhabited island. With a few other victims of the crash, can you craft, mine, and build your way to survival?",,,
B0056,A06,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,DARK SOULS™: REMASTERED,액션,기억하시나요? 불이 있었습니다. 굉장한 호평을 받으며 장르를 재정립한 게임의 모든 것을 다시 경험해보세요. 아름답게 리마스터되어 60fps로 돌아가는 고해상도로 그려진 로드란으로 돌아가세요. 다크 소울 리마스터에는 본편과 심연의 아르토리우스 DLC가 포함됩니다.,,,
B0057,A22,Opus Magnum,"인디, 시뮬레이션",IFO,"인디, 시뮬레이션, 전략","A spaceship simulator for aliens, an ever-changing rule discovery puzzle for humans.",,,
B0058,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Rig n Roll,시뮬레이션,Players will step into the shoes of a young man in the year 2014 as he arrives in California to pursue his dreams of road domination and capture the Californian cargo transportation market. There are miles of highways to conquer and cities and towns to reach as he becomes the greatest trucker on the,,,
B0059,A12,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Aground,"어드벤처, 인디, RPG","As one of the last human survivors, you find yourself stranded on an uninhabited island. With a few other victims of the crash, can you craft, mine, and build your way to survival?",,,
B0060,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Is this Game Trying to Kill Me?,"액션, 어드벤처, 인디","깊은 숲 속 오래된 오두막, 이상한 컴퓨터, 그리고 당신을 죽이려는 게임!",,,
B0061,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",FALL GIRLS,"액션, 어드벤처, 캐주얼, 인디, 시뮬레이션, 스포츠","FALL GIRLS is a casual arcade runner with unique setting.It`s a competition, where you should pass the levels one by one.You will play as a female protagonist.",,,
B0062,A12,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",24 Killers,"어드벤처, 캐주얼, 인디","Explore a desert island full of oddities, transform into monsters you've rescued, collect mysterious spirits, and unlock mods that change up future playthroughs.",,,
B0063,A04,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",红石遗迹 - Red Obsidian Remnant,"액션, 어드벤처, 인디, RPG",A Roguelike gameplay and action system combined dungeon game.,,,
B0064,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Dead Cells,"액션, 어드벤처, 인디","데드 셀(Dead Cells)는 메트로배니아에서 영감을 받은 로그라이트 액션 플랫포머 게임입니다. 2D 소울 라이트 전투에서 성을 지키는 수호자들을 물리치고 끊임없이 변화하는 거대한 성을 탐험하게 됩니다. 세이브 포인트는 없습니다. 죽이고, 죽고, 배우고, 반복하세요.",,,
B0065,A20,Counter-Strike 2 / PUBG: BATTLEGROUNDS / Stardew Valley,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 인디, RPG, 시뮬레이션",Guild Wars 2®,"어드벤처, 대규모 멀티플레이어, RPG, 무료 플레이","Guild Wars 2 is an award-winning online roleplaying game with fast-paced action combat, deep character customization, and no subscription fee required. Choose from an arsenal of professions and weapons, explore a vast open world, compete in PVP modes and more. Join over 16 million players now!",,,
