pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0019,A23,The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition / BeamNG.drive,"RPG / RPG / 레이싱, 시뮬레이션, 앞서 해보기",Wall World,"액션, 어드벤처, 인디, 전략","거대한 로보스파이더를 타고 신비로운 세계의 벽을 탐험해보세요: 귀중한 자원을 채굴하고, 장비를 업그레이드하여 수많은 괴물들을 물리치고, 전투 중간에 매력적인 생물군을 발견할 수 있습니다. 여러분은 살아남아 세계의 벽이 가진 비밀을 알아낼 수 있을까요?",,,
B0020,A13,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Space Rogue,"인디, 시뮬레이션, 전략","Take on the role of a spaceship captain. Explore new worlds, and engage in intense ship-to-ship battles. Develop unique battle tactics, upgrade your ship, and recruit crew members as you fight for peace or piracy.",,,
B0021,A08,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Scania Truck Driving Simulator,"인디, 시뮬레이션","Get behind the wheel of one of the most iconic trucks on the road with this highly detailed Scania R-series truck simulation by SCS Software, developers of Euro Truck Simulator 2.",,,
B0022,A20,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Paladins®,"액션, 어드벤처, 대규모 멀티플레이어, 전략, 무료 플레이","Paladins is the ultimate fantasy team-based shooter experience, with over 50 customizable Champions fighting in 5v5 action across a diverse Realm of modes and maps!",,,
B0023,A20,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Street Warriors Online,"액션, 대규모 멀티플레이어, 시뮬레이션, 스포츠","First, realistic PvP brawling game for up to 8 vs 8 players with original, dynamic combat system and fast, round based battles. Create and develop Your character. Earn new skills and items that helps You beat Your opponents. Gather Your friends and fight together in a clan.",,,
B0024,A08,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Cities in Motion,시뮬레이션,"Manage transportation for commuters in four of the world's greatest cities - Vienna, Helsinki, Berlin, and Amsterdam",,,
B0025,A14,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",State of Decay 2: Juggernaut Edition,"액션, RPG, 시뮬레이션","The dead have risen and civilization has fallen. Now it's up to you to gather survivors, scavenge for resources and build a community in a post-apocalyptic world – a world where you define what it means to survive in this ultimate zombie survival simulation.",,,
B0026,A25,Raft / Stardew Valley / Counter-Strike 2,"어드벤처, 인디, 시뮬레이션 / 인디, RPG, 시뮬레이션 / 액션, 무료 플레이",Team Fortress 2,"액션, 무료 플레이","다양한 전술적 능력과 뚜렷한 개성을 갖춘 9가지 병과의 캐릭터를 플레이하세요. 끊임없이 업데이트되는 새로운 게임 모드, 맵, 장비 그리고 가장 중요한 모자까지 지금 바로 즐겨보세요!",,,
B0027,A21,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Warnament,"인디, 시뮬레이션, 전략","턴제 대전략 게임으로, 초보자도 쉽게 플레이할 수 있지만 고수에게는 도전적인 게임입니다. 국가의 지도자가 되어 영토를 정복하고 군사·기술·문화·정치 분야에서 발전하세요. 역사적 시나리오를 선택하거나 게임 내 편집기로 나만의 시나리오를 만들어 보세요.",,,
B0028,A26,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",Half-Life,액션,"50개 이상의 언론사에서 올해의 게임으로 선정된 Valve의 데뷔 타이틀로서, 수상 경력에 빛나는 기술력이 결합된 액션과 어드벤처가 플레이어의 생존 본능을 자극하며 놀랍도록 현실적인 세계를 선사합니다. 전 세계의 플레이어와 친구 또는 적이 될 수 있는 흥미진진한 멀티플레이어 모드도 포함되어 있습니다.",,,
B0029,A21,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",The Long Journey Home,"인디, RPG, 시뮬레이션, 전략","끝없이 변화하는 우주를 탐험하고, 강력한 외계 종족과 동맹을 맺으세요. 그리고 고고학 연구부터 우주 전투까지 선원들의 기술을 활용하여, 어떻게든 고향에 돌아가세요.",,,
B0030,A25,Raft / Stardew Valley / Counter-Strike 2,"어드벤처, 인디, 시뮬레이션 / 인디, RPG, 시뮬레이션 / 액션, 무료 플레이",Creativerse,"액션, 어드벤처, 캐주얼, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션",A sandbox adventure game as big as your imagination.,,,
B0031,A01,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",DARK SOULS™ II,"액션, RPG",FROM SOFTWARE에서 개발한 DARK SOULS™ II는 2011년에 출시되어 큰 인기를 누린 Dark Souls™의 속편입니다. 특유의 전통 방식 액션 RPG는 도전 의식을 고취시키고 강한 성취감을 느끼게 함으로써 세계 각지의 게이머 마음을 사로잡았습니다. Dark Souls™ II는 싱글 플레이와 멀티 플레이 모두에서 명성이 자자한 이 시리즈 특유의 난이도와 눈을 떼지 못하게 하는 게임 플레이를 선보일 것입니다. 어둠의 여정에 동참해 FROM SOFTWARE만이 제공할 수 있는 압도적인 적과 악마의 위협 그리고 끊임없는 ,,,
B0032,A10,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Dungeon Defenders: Going Rogue,"액션, 어드벤처, 인디, RPG","Combining Roguelite, Action RPG, and Tower Defense gameplay into a crazy free-for-all, where it’s you and up to three friends versus hordes of enemies. Select your hero, survive the waves of foes, unlock new weapons and runes, and take on the bosses that await you!",,,
B0033,A19,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Crossout,"액션, 어드벤처, 대규모 멀티플레이어, 레이싱, 무료 플레이",황폐한 세계에서 펼쳐지는 액션 게임 CROSSOUT에 참여하세요! 수십 가지의 교환 가능한 부품으로 자신만의 독특한 전투 머신을 만들고 탑승하여 폭발적인 PvP 온라인 전투에서 적을 파괴하세요!,,,
B0034,A26,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",Crush Your Enemies,"액션, 인디, 전략","Go back to the awesome glory days of Real-Time Strategy games. Crush Your Enemies has everything you love of the genre: Planning, choosing different types of units, managing resources, taking enemy territory and outwitting your opponent with the ingenious formations of your men.",,,
B0035,A18,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Hiveswap Friendsim,"어드벤처, 인디, RPG, 시뮬레이션","You’ve crash landed on a dangerous alien planet with no food, medicine, or prospects, but you do know one thing—you are absolutely desperate for friendship.",,,
B0036,A20,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Survival Zombies The Inverted Evolution,"액션, 어드벤처, 인디, 시뮬레이션",Survival Zombies is a bloody chaotic survival first person shooter that pits heavily armed players against humanity's greatest fear - hordes of undead.,,,
B0037,A18,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Winter Survival - 겨울 생존,"액션, 어드벤처, 인디, 시뮬레이션","Winter Survival is a story-driven survival game where trauma turns reality into a reflection of your breaking mind. Battle cold, hunger, hallucinations, and adapt to the wilderness as it adapts to you.",,,
B0038,A20,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",White Noise 2,"액션, 어드벤처, 인디, 전략","Enjoy a 4vs1 asymmetric horror experience like no other. Be a part of the investigator team, or take control of the creature and devour them!",,,
B0039,A01,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",Don't Starve,"어드벤처, 인디, 시뮬레이션","Don’t Starve is an uncompromising wilderness survival game full of science and magic. Enter a strange and unexplored world full of strange creatures, dangers, and surprises. Gather resources to craft items and structures that match your survival style.",,,
B0040,A15,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",Sea of Survivors,"액션, 어드벤처, 캐주얼, 인디, 앞서 해보기",생존자의 바다에선 어떤 방향으로든 항해할 수 있지만 움직임을 멈출 순 없습니다. 해적 무리와 바다 괴물을 피하고 파괴해 경험치를 얻고 레벨을 올리고 선박 업그레이드를 선택하세요. 기이한 저주를 발견하고 특별한 보물을 잠금 해제하고 생존을 위해 싸우세요.,,,
B0041,A19,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Military Conflict: Vietnam,"액션, 캐주얼, 앞서 해보기","It’s 1968 in Vietnam, the time to “Make War Not Love”. Side with the Viet Cong or U.S. Army in this intense, fast-paced FPS set in the Vietnam War — now with co-op zombie mode. Choose from 300+ weapons of destruction. Kill or be killed!",,,
B0042,A12,Euro Truck Simulator 2 / 아세토 코르사 Assetto Corsa / Left 4 Dead 2,"인디, 시뮬레이션 / 인디, 레이싱, 시뮬레이션, 스포츠 / 액션",Nuclear Dawn,"액션, 전략",Explore war-torn post-apocalyptic landscapes and take fight against enemies using various weapons in this FPS/RTS hybrid.,,,
B0043,A02,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",시드 마이어의 문명 VII,"시뮬레이션, 전략",시대를 진보 또는 존속시키는 지도자가 되어 제국을 이끌어 보세요. 시드 마이어의 문명® VII에서 여러분의 신념을 실현하세요.,,,
B0044,A16,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,FOUNTAINS,"액션, 어드벤처, 인디, RPG",숙련된 전투를 마스터하여 전쟁으로 짓밟힌 제국의 비밀을 밝혀내고 감시자들로부터 탈출하세요. 거대하고 유기적으로 연결된 세계를 배경으로 한 하드보일드 소울라이크 RPG에서 자신만의 길을 개척하세요.,,,
B0045,A08,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",The Zone - FPV Drone Simulator,"레이싱, 시뮬레이션, 앞서 해보기","Learn new tricks, improve your freestyle flow, get inspiration by spectating other pilots, or learn to fly in the first place. The drone setup and physics are already dialed in by Pro pilots, so no need to mess with complicated settings.",,,
B0046,A02,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",Phoenix Point,"RPG, 전략","The acclaimed strategy game from the creator of X-COM. Fight tactical battles on procedural maps against a foe that adapts to your tactics. Manage diplomacy and economy on a global scale. Research, explore, overcome. Now includes Steam Workshop support for mods!",,,
B0047,A01,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",SIMULACRA,"어드벤처, 인디, 시뮬레이션",An interactive horror experience of exploring a missing woman’s phone.,,,
B0048,A11,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",Halls of Torment,"액션, 인디, RPG","이 게임은 무시무시한 몬스터 무리를 학살하며 생존하는 로그라이트 게임입니다. 온갖 지하의 군주들이 도사리고 있는 고뇌의 전당으로 내려가세요. 보물, 마법 장신구, 점점 늘어나는 영웅들을 활용하여 이 세상의 존재가 아닌 듯한 공포들을 박멸하세요. 여러분은 얼마나 오랫동안 살아남을 수 있을까요?",,,
B0049,A24,Stardew Valley / Slime Rancher / Raft,"인디, RPG, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션 / 어드벤처, 인디, 시뮬레이션",영지: 농사와 전쟁 (Territory: Farming and Warfare),"인디, 시뮬레이션, 전략","From a small village of a dozen people to a small kingdom of thousands of people. Arrange for residents to work, gathering, fishing and hunting, farming and mining, processing and manufacturing. Trade, accumulate supplies, increase your strength, and fight evil forces and monsters.",,,
B0050,A03,Salt and Sanctuary,"액션, 인디, RPG",Salt 2: Shores of Gold,"액션, 어드벤처, 인디, RPG","Salt 2 is a pirate-themed open world adventure focused on exploration, crafting, and survival. Play solo or with up to 5 friends, sailing the sea with your ship as a mobile base. Discover islands full of quests, towns, caves, and secrets. Level up, craft gear, hunt, fish, and customize your ship.",,,
B0051,A06,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Windbound,"어드벤처, 인디, RPG","금지된 섬이 부르고 있습니다. 그곳의 비밀을 밝히세요. 미지의 섬에 난파된 당신은 육지와 바다를 탐험하고, 환경에 적응하고, 곳곳을 탐사하며 살아남아야 합니다.",,,
B0052,A15,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",Trinity Fusion,"액션, 인디, RPG","세 개의 갈라진 현실. 붕괴하는 멀티버스. 어두운 SF 세계를 배경으로 한 빠르고 부드러운 전투를 경험하세요. 매번 다른 우주에서 시작해 평행한 자신과 능력, 세계를 융합하며 잔혹하고 끊임없이 진화하는 빌드를 만들어갑니다.",,,
B0053,A23,The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition / BeamNG.drive,"RPG / RPG / 레이싱, 시뮬레이션, 앞서 해보기",The Zone - FPV Drone Simulator,"레이싱, 시뮬레이션, 앞서 해보기","Learn new tricks, improve your freestyle flow, get inspiration by spectating other pilots, or learn to fly in the first place. The drone setup and physics are already dialed in by Pro pilots, so no need to mess with complicated settings.",,,
B0054,A19,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Trapped Dead,"액션, 전략",You and up to three friends fight to survive the Zombie outbreak in this game inspired by early '80s horror films!,,,
B0055,A08,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",아세토 코르사 에보 Assetto Corsa EVO,"레이싱, 시뮬레이션, 스포츠, 앞서 해보기",아세토 코르사 에보가 여태까지 개발된 가장 인기 있는 멀티플랫폼 드라이빙 시뮬레이션의 현실감과 기능을 새롭게 정의합니다. 수년간의 자동차 역사를 아우르는 다양한 클래스의 차량을 만나보세요.,,,
B0056,A22,Opus Magnum,"인디, 시뮬레이션",Mechanica,"인디, 앞서 해보기","Mechanica is a multiplayer open-world survival game involving building and programming. Create your own bases, defenses, manufacturing systems and more. Explore the map and expand the scope and complexity of your creations.",,,
B0057,A08,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",ScootX,"캐주얼, 인디, 시뮬레이션, 스포츠","The world’s first 100% physics-driven scooter simulation. From the wheels to the rider’s head, everything is powered by physics. Session tricks, grinds, and community-made parks with Mod.io support.",,,
B0058,A01,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",Camping Simulator: The Squad,"어드벤처, 인디, 시뮬레이션",Camping Simulator lets you experience what camp means by preparing your backpack wisely for challenging conditions of nature. You can play all the experiences with up to 8 friends in multiplayer mode or single player mode.,,,
B0059,A24,Stardew Valley / Slime Rancher / Raft,"인디, RPG, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션 / 어드벤처, 인디, 시뮬레이션",Скуф на рыбалке,"어드벤처, 인디, 시뮬레이션","Рыбалка никогда не была скучным занятием и она никогда не была на столько весёлой и иммерсивной! Присоединяйся к рядам настоящих скуфов, лови рыбу и веселись",,,
B0060,A23,The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition / BeamNG.drive,"RPG / RPG / 레이싱, 시뮬레이션, 앞서 해보기",FOUNTAINS,"액션, 어드벤처, 인디, RPG",숙련된 전투를 마스터하여 전쟁으로 짓밟힌 제국의 비밀을 밝혀내고 감시자들로부터 탈출하세요. 거대하고 유기적으로 연결된 세계를 배경으로 한 하드보일드 소울라이크 RPG에서 자신만의 길을 개척하세요.,,,
B0061,A14,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",The Gold River Project,"어드벤처, 인디, 시뮬레이션, 앞서 해보기","혼자서 또는 멀티플레이어로 즐기는 오픈 월드 캠핑 어드벤처 게임입니다. 여러분과 친구들에게 제안된 외딴 캠핑 여행. 일주일의 예정이 몇 주로 늘어나면서 가이드가 돌아오지 않을 것이라는 의심이 들기 시작합니다. 버려진 채, 여러분은 생존 실험의 피실험자로 갇혀 있다는 사실을 발견하게 됩니다.",,,
B0062,A14,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Aliens vs. Predator™,액션,"Survive, hunt and prey in the deadly jungles and swamps in distinctly new and thrilling first person gameplay.",,,
B0063,A17,Hollow Knight / Dead Cells / Celeste,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디",KAKU: Ancient Seal,"액션, 어드벤처, 인디, RPG","이 개방형 액션 어드벤처 게임에서, 당신은 소년 카쿠와 날아다니는 작은 돼지 '피기'와 함께 광활한 고대 원소 대륙을 탐험하고 강력한 적을 물리치며 다양한 유적의 수수께끼를 풀어 마침내 재앙이 닥친 진실을 밝혀낼 것입니다.",,,
B0064,A01,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",The Backrooms: Survival,"액션, 어드벤처, 인디, 대규모 멀티플레이어, 시뮬레이션","Survival horror with roguelike elements. Explore randomized levels with different items and entities while trying to maintain your thirst, hunger, and sanity, ensuring a new experience every time. Play alone or with up to TEN friends online! Cross-platform multiplayer with Nintendo Switch.",,,
B0065,A10,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Space Rangers HD: A War Apart,"액션, 어드벤처, RPG, 시뮬레이션, 전략","Space adventure, open world RPG, strategy, arcade, quest and more!",,,
